city,state_code,state_name,dist_code,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,total_graduates,male_graduates,female_graduates
Abohar ,3,PUNJAB,9,145238,76840,68398,103319,58347,44972,890,79.86,85.49,73.59,16287,8612,7675
Achalpur ,27,MAHARASHTRA,7,112293,58256,54037,92433,49347,43086,928,91.99,94.77,89,8863,5269,3594
Adilabad ,28,ANDHRA PRADESH,1,117388,59232,58156,83955,46295,37660,982,80.51,88.18,72.73,10565,6797,3768
Adityapur ,20,JHARKHAND,24,173988,91495,82493,125985,71470,54515,902,83.46,89.98,76.23,19225,12189,7036
Adoni ,28,ANDHRA PRADESH,21,166537,82743,83794,101292,56203,45089,1013,68.38,76.58,60.33,11902,7871,4031
Agartala ,16,TRIPURA,1,399688,199616,200072,343633,174524,169109,1002,93.88,95.75,92.02,52711,30215,22496
Agra ,9,UTTAR PRADESH,15,1574542,849771,724771,880530,503805,376725,853,63.44,67.67,58.54,185813,106082,79731
Ahmadabad ,24,GUJARAT,7,5570585,2935869,2634716,4464303,2459823,2004480,897,89.62,93.96,84.81,769858,435267,334591
Ahmadnagar ,27,MAHARASHTRA,26,350905,179755,171150,287468,152819,134649,952,91.49,95.51,87.33,51661,29832,21829
Aizawl ,15,MIZORAM,3,291822,143803,148019,253588,125256,128332,1029,98.8,99.3,98.31,26832,14900,11932
Ajmer ,8,RAJASTHAN,21,542580,278786,263794,422913,230586,192327,946,87.53,93.26,81.53,77989,42454,35535
Akbarpur ,9,UTTAR PRADESH,47,111594,57560,54034,75062,42208,32854,939,76.94,83.89,69.54,9745,5811,3934
Akola ,27,MAHARASHTRA,5,427146,218184,208962,347687,183594,164093,958,91.34,94.78,87.77,49715,28812,20903
Alandur ,33,TAMIL NADU,3,164162,82190,81972,142415,72755,69660,997,95.15,97.2,93.1,45971,25463,20508
Alappuzha ,32,KERALA,11,174164,83888,90276,153269,74454,78815,1076,96.56,98.03,95.21,22263,9900,12363
Aligarh ,9,UTTAR PRADESH,12,872575,463123,409452,533969,303886,230083,884,70.36,75.5,64.55,99341,55965,43376
Allahabad ,9,UTTAR PRADESH,44,1117094,601363,515731,877590,493181,384409,858,86.5,90.21,82.17,233129,138248,94881
Alwar ,8,RAJASTHAN,6,315310,166900,148410,243634,138737,104897,889,86.78,93.72,79.05,58764,35297,23467
Ambala ,6,HARYANA,2,196216,103533,92683,155780,85004,70776,895,88.23,91.58,84.51,34943,17809,17134
Ambala Sadar ,6,HARYANA,2,104268,54241,50027,83236,43444,39792,922,87.97,88.66,87.22,20618,10689,9929
Ambarnath ,27,MAHARASHTRA,21,254003,133006,120997,201707,111273,90434,910,89.04,93.82,83.78,26596,14444,12152
Ambattur ,33,TAMIL NADU,1,478134,241181,236953,401253,208748,192505,982,92.69,95.71,89.62,97186,52224,44962
Ambikapur ,22,CHHATTISGARH,2,114575,59673,54902,89590,48950,40640,920,88.2,92.73,83.29,20857,12369,8488
Ambur ,33,TAMIL NADU,4,113856,56052,57804,88309,45439,42870,1031,86.83,91.18,82.65,7813,5076,2737
Amravati ,27,MAHARASHTRA,7,646801,330544,316257,543568,284490,259078,957,93.03,95.52,90.44,91996,51456,40540
Amreli ,24,GUJARAT,13,105980,55166,50814,85975,46721,39254,921,89.47,93.85,84.75,11305,6579,4726
Amritsar ,3,PUNJAB,15,1132761,602754,530007,872527,478062,394465,879,85.27,88.09,82.09,140359,69241,71118
Amroha ,9,UTTAR PRADESH,6,197135,102804,94331,108772,60621,48151,918,63.88,68.11,59.24,13879,7635,6244
