Index,interest_rate,credit,Gender,previous,duration,Churn
0,1.334,0,1,0,117,no
1,0.767,0,0,1,274,yes
2,4.858,0,1,0,167,no
3,4.12,0,0,0,686,yes
4,4.856,0,1,0,159,no
5,0.899,0,0,0,120,no
6,4.962,0,0,0,337,no
7,4.858,0,1,0,640,no
8,4.962,0,0,0,663,yes
9,4.865,0,0,0,403,no
10,1.365,0,0,1,300,no
11,4.962,0,0,0,255,yes
12,4.858,0,0,1,293,yes
13,4.962,0,0,0,68,no
14,4.865,0,0,0,266,no
15,1.334,0,0,0,266,yes
16,0.767,0,0,1,159,yes
17,4.858,1,1,0,120,yes
18,4.12,0,1,0,337,yes
19,4.856,0,0,0,640,no
20,0.899,0,0,0,663,yes
21,4.962,0,0,1,403,yes
22,4.858,0,1,0,300,no
23,4.962,0,0,0,255,yes
24,4.865,0,1,1,293,yes
25,1.365,0,1,0,68,no
26,4.962,0,0,0,266,yes
27,4.858,0,0,0,272,yes
28,4.962,0,0,0,398,yes
29,4.865,0,0,0,126,no
30,4.965,0,0,0,35,no
31,1.244,0,1,0,126,no
32,4.856,0,1,0,683,yes
33,1.26,0,0,0,280,yes
34,4.864,0,0,0,161,no
35,4.86,0,1,0,191,no
36,1.327,0,1,0,1135,yes
37,4.076,0,0,0,81,no
38,1.811,1,0,0,1447,yes
39,1.266,0,1,0,436,no
40,4.592,0,0,0,132,no
41,0.739,0,0,0,328,yes
42,4.963,0,0,0,175,no
43,4.857,0,1,0,145,no
44,0.884,0,0,1,155,yes
45,0.739,0,0,0,115,yes
46,4.856,0,1,0,57,no
47,1.313,0,1,0,170,no
48,1.281,0,1,0,172,no
49,0.704,0,0,0,310,yes
50,4.962,0,0,0,711,no
51,4.12,0,0,0,63,no
52,4.964,0,0,0,87,no
53,4.957,0,0,0,154,no
54,4.864,0,1,0,124,no
55,0.683,0,1,1,328,yes
56,4.076,0,0,0,147,no
57,0.715,0,0,1,64,yes
58,1.483,0,0,0,739,yes
59,0.682,0,1,1,360,yes
60,4.964,0,0,0,105,no
61,1.244,0,1,0,113,no
62,1,0,0,0,767,yes
63,0.715,0,0,0,254,yes
64,4.97,0,0,0,341,no
65,1.313,0,1,0,301,no
66,4.968,0,0,0,148,no
67,4.921,0,0,0,171,yes
68,1.04,0,0,1,712,yes
69,4.12,0,0,0,104,no
70,4.97,0,0,0,39,no
71,0.81,0,0,0,229,yes
72,4.962,0,0,0,311,no
73,0.635,1,0,0,238,yes
74,0.742,0,0,0,364,yes
75,1.25,0,1,0,133,no
76,1.365,0,0,0,261,yes
77,4.859,0,1,0,389,no
78,4.864,0,1,0,160,no
79,4.961,0,0,0,70,no
80,0.706,0,0,1,206,yes
81,0.73,0,0,0,281,yes
82,0.74,0,0,1,166,yes
83,4.968,0,0,0,299,no
84,4.021,0,0,0,258,no
85,4.12,0,0,0,1011,yes
86,0.722,0,0,0,169,yes
87,0.773,0,0,0,355,no
88,0.883,0,0,0,254,yes
89,4.958,0,0,0,96,no
90,4.968,0,0,0,217,no
91,4.968,0,0,0,85,yes
92,0.854,0,0,0,232,yes
93,0.851,0,0,0,184,yes
94,1.365,0,0,0,571,yes
95,1.016,0,0,0,621,yes
96,0.884,0,0,0,600,yes
97,4.962,0,0,0,59,no
98,4.962,0,0,0,1130,yes
99,4.963,0,0,0,171,no
100,1.405,0,0,0,840,yes
101,4.965,0,0,0,206,no
102,0.715,0,0,0,747,yes
103,1.268,0,0,0,263,no
104,4.021,0,0,0,331,yes
105,1.313,0,1,0,334,no
106,4.076,0,0,0,268,no
107,0.723,0,0,0,208,yes
108,0.668,0,1,1,268,yes
109,4.855,0,1,0,346,no
110,1.726,1,0,1,363,yes
111,1.405,0,0,0,113,no
112,1.291,0,1,0,173,no
113,4.153,0,0,0,68,no
114,1.26,0,0,0,539,yes
115,4.96,0,0,0,35,no
116,4.965,0,0,0,119,no
117,1.313,0,1,0,728,yes
118,1.27,0,1,0,412,yes
119,4.961,0,0,0,314,no
120,1.27,0,1,0,99,no
121,4.856,0,1,0,25,no
122,0.977,0,0,1,252,yes
123,1.405,0,0,0,1348,yes
124,1.291,0,1,0,314,no
125,1.344,0,1,0,955,yes
126,1.602,1,0,0,224,yes
127,1.405,0,0,0,406,no
128,0.706,0,0,0,205,yes
129,1.406,0,0,0,266,yes
130,4.963,0,0,0,153,no
131,0.677,0,1,0,195,yes
132,0.881,0,0,0,316,yes
133,4.966,0,0,0,768,yes
134,0.748,0,0,0,300,yes
135,4.858,0,1,0,483,yes
136,4.968,0,0,0,391,no
137,1.072,0,0,0,276,yes
138,4.965,0,0,0,275,no
139,4.857,0,1,0,175,no
140,4.86,0,1,0,126,no
141,4.855,0,1,0,101,no
142,4.855,0,1,0,653,yes
143,0.767,0,0,0,286,yes
144,4.856,0,1,0,650,yes
145,0.652,1,0,1,450,yes
146,1.25,0,1,0,239,no
147,4.856,0,1,0,125,no
148,4.153,0,0,0,1855,yes
149,0.884,0,0,0,128,no
150,4.858,0,1,0,951,no
151,4.963,0,0,0,545,no
152,4.957,0,0,0,1019,yes
153,1.299,0,1,0,689,yes
154,4.191,0,0,0,58,no
155,1.799,1,0,0,156,yes
156,4.967,0,0,0,626,no
157,1.334,0,1,0,984,yes
158,1.344,0,1,1,632,no
159,1.25,0,1,0,1068,yes
160,0.835,0,0,1,309,yes
161,1.262,0,0,0,384,yes
162,4.97,0,0,0,846,yes
163,4.966,0,0,0,264,no
164,0.879,0,0,0,173,yes
165,4.153,0,0,0,288,no
166,4.794,0,0,0,154,yes
167,1.268,0,0,0,151,no
168,1.313,0,1,0,88,no
169,4.959,0,0,0,394,no
170,1.313,0,1,0,474,no
171,0.644,0,0,1,330,yes
172,0.896,0,0,1,292,yes
173,4.963,0,0,0,141,no
174,4.963,0,0,0,154,no
175,4.958,0,0,0,1150,yes
176,0.882,0,0,0,194,yes
177,1.687,1,0,0,113,no
178,0.79,0,0,0,423,yes
179,0.639,1,0,1,222,yes
180,4.964,0,0,0,345,no
181,1.327,0,1,0,141,no
182,4.963,0,0,0,275,no
183,4.966,0,0,0,809,yes
184,4.963,0,0,0,132,no
185,4.962,0,0,0,207,no
186,4.857,0,1,0,16,no
187,4.963,0,0,0,98,no
188,4.957,0,0,0,1806,yes
189,0.883,0,0,0,175,yes
190,0.715,0,0,0,193,yes
191,1.313,0,1,0,374,no
192,1.27,0,1,0,86,no
193,0.699,0,1,0,460,yes
194,1.05,0,0,1,207,no
195,4.959,0,0,0,11,no
196,1.423,0,0,0,496,yes
197,4.962,0,0,0,80,no
198,1.41,0,0,0,483,no
199,1.26,0,0,0,269,yes
200,4.962,0,0,0,149,no
201,4.96,0,0,0,617,yes
202,0.771,0,0,1,323,yes
203,1.365,0,0,0,815,yes
204,4.965,0,0,0,126,no
205,4.961,0,0,0,267,no
206,1.799,1,0,0,320,yes
207,4.963,0,0,0,697,yes
208,4.857,0,1,0,274,no
209,1.291,0,1,0,1062,yes
210,0.898,0,0,0,209,no
211,4.858,0,1,0,259,no
212,0.715,0,0,0,854,yes
213,0.878,0,0,0,256,yes
214,4.961,0,0,0,82,no
215,4.959,0,0,0,693,yes
216,1.029,0,0,1,738,yes
217,1.757,1,0,0,63,yes
218,1.423,0,0,0,207,yes
219,4.859,0,1,0,51,no
220,1.614,1,0,0,406,yes
221,0.889,0,0,0,546,yes
222,4.153,0,0,0,64,no
223,4.857,0,1,0,158,no
224,1.354,0,1,0,742,yes
225,4.857,0,1,0,211,no
226,4.864,0,0,0,633,yes
227,1.531,1,0,0,179,yes
228,1.244,0,1,0,1340,yes
229,4.021,0,0,0,980,yes
230,4.966,0,0,0,454,no
231,4.857,0,1,0,212,no
232,4.865,0,0,0,361,no
233,4.962,0,0,0,873,yes
234,4.96,0,0,0,629,yes
235,0.87,0,0,0,1148,yes
236,0.717,0,0,0,229,yes
237,1.244,0,1,0,202,no
238,1.344,0,1,0,342,no
239,1.028,0,0,0,383,no
240,4.076,0,0,0,151,no
241,0.652,1,0,1,568,yes
242,4.859,0,1,0,97,no
243,1.281,0,1,0,69,no
244,0.898,0,0,0,1013,no
245,1.25,0,1,0,1357,yes
246,1.354,0,1,1,417,yes
247,4.021,0,0,0,102,no
248,4.957,0,0,0,873,yes
249,0.655,1,0,0,525,yes
250,4.076,0,0,0,180,no
251,1.405,0,0,0,609,no
252,1.291,0,1,0,72,no
253,4.965,0,0,0,73,no
254,4.865,0,0,0,151,no
255,1.281,0,0,0,458,yes
256,0.704,0,0,1,238,yes
257,1.299,0,1,0,82,no
258,0.879,0,0,0,363,yes
259,4.966,0,0,0,396,yes
260,1.453,0,0,0,463,yes
261,0.644,0,0,0,634,yes
262,4.959,0,0,0,1422,yes
263,4.957,0,0,0,251,no
264,1.406,0,0,0,163,yes
265,4.961,0,0,0,135,no
266,1.334,0,1,0,345,no
267,1.334,0,1,0,144,no
268,4.864,0,0,0,525,no
269,4.965,0,0,0,388,yes
270,1.25,0,1,0,760,yes
271,1.392,0,0,0,360,yes
272,4.962,0,0,0,549,no
273,4.961,0,0,0,107,no
274,4.968,0,0,0,1311,yes
275,0.74,0,0,0,294,yes
276,0.904,0,0,0,544,yes
277,1.264,0,1,0,143,no
278,4.856,0,1,0,273,no
279,1.344,0,1,0,201,no
280,4.955,0,0,0,762,yes
281,1.327,0,1,0,143,no
282,4.864,0,1,0,886,yes
283,1.244,0,1,0,2301,yes
284,4.076,0,0,0,252,no
285,4.962,0,0,0,958,no
286,4.964,0,0,0,76,no
287,4.857,0,1,0,1234,yes
288,4.12,0,0,0,265,no
289,0.849,0,0,0,204,yes
290,4.957,0,0,0,157,no
291,0.846,0,0,0,250,yes
292,4.857,0,1,0,456,no
293,1.41,0,0,0,114,no
294,0.898,0,0,0,308,yes
295,4.153,0,0,0,154,no
296,1.365,0,0,1,185,no
297,4.858,0,1,0,73,no
298,4.965,0,0,0,73,no
299,0.959,0,0,0,604,no
300,4.858,0,1,0,314,no
301,0.697,0,1,0,196,yes
302,4.963,0,0,0,184,no
303,4.965,0,0,0,257,no
304,4.864,0,0,0,188,no
305,1.268,0,0,0,146,yes
306,4.856,0,1,0,216,no
307,4.965,0,0,0,1152,yes
308,1.313,0,1,0,553,no
309,1.266,0,0,1,174,yes
310,4.96,0,0,0,159,no
311,0.714,0,0,1,183,yes
312,4.076,0,0,0,49,no
313,0.879,0,0,1,249,yes
314,4.864,0,0,0,941,yes
315,1.26,0,0,0,181,yes
316,4.963,0,0,0,988,yes
317,1.453,0,0,0,353,no
318,0.797,0,0,0,569,yes
319,4.855,0,1,0,461,no
320,0.716,0,0,1,178,yes
321,4.967,0,0,0,109,no
322,4.963,0,0,0,113,no
323,4.964,0,0,0,111,no
324,4.963,0,0,0,73,no
325,0.649,1,0,1,213,yes
326,1.27,0,1,0,322,no
327,0.714,0,0,0,130,yes
328,4.961,0,0,0,1424,yes
329,0.827,0,0,0,9,no
330,1.313,0,1,0,1276,yes
331,4.153,0,0,0,854,yes
332,4.958,0,0,0,1319,yes
333,0.904,0,0,1,203,yes
334,4.864,0,1,0,56,no
335,1.048,0,0,0,199,no
336,1.262,0,0,0,690,yes
337,1.479,0,0,0,230,no
338,1.354,0,1,1,673,yes
339,0.72,0,0,1,458,yes
340,1.299,0,1,0,475,yes
341,4.153,0,0,0,135,no
342,1.498,0,0,0,1176,yes
343,4.855,0,1,0,344,no
344,4.866,0,0,0,40,no
345,0.883,0,0,1,219,yes
346,1.244,0,1,0,565,yes
347,4.967,0,0,0,2653,yes
348,0.644,0,0,1,218,yes
349,4.96,0,0,0,141,no
350,0.827,0,0,0,375,yes
351,1.266,0,1,0,578,yes
352,4.858,0,1,0,58,no
353,1.26,0,0,0,491,yes
354,0.899,0,0,0,592,yes
355,4.968,0,0,0,188,no
356,0.722,0,0,1,424,yes
357,1.52,1,0,0,163,yes
358,4.021,0,0,0,11,no
359,0.715,0,0,1,95,yes
360,4.957,0,0,0,191,no
361,4.966,0,0,0,116,no
362,1.41,0,0,0,198,no
363,1.281,0,1,0,149,no
364,4.12,0,0,0,424,yes
365,4.962,0,0,0,1009,yes
366,4.856,0,1,0,247,no
367,0.899,0,0,1,295,yes
368,4.964,0,0,0,393,no
369,4.964,0,0,0,155,no
370,1.354,0,1,0,1602,yes
371,4.856,0,1,0,1138,yes
372,1.41,0,0,0,285,yes
373,0.728,0,0,0,418,yes
374,1.03,0,0,0,403,yes
375,4.963,0,0,0,152,no
376,4.965,0,0,0,224,no
377,4.963,0,0,0,109,no
378,0.714,0,0,0,805,yes
379,0.904,0,0,1,244,yes
380,1.281,0,1,0,314,yes
381,0.739,0,0,0,233,yes
382,4.963,0,0,0,183,no
383,4.962,0,0,0,662,yes
384,0.843,0,0,0,232,yes
385,4.153,0,0,0,180,no
386,1.405,0,0,0,336,no
387,1.048,0,0,0,74,no
388,4.864,0,0,0,148,no
389,0.861,0,0,0,405,yes
390,4.864,0,0,0,143,no
391,1.291,0,1,0,59,no
392,1.05,0,0,1,449,yes
393,0.797,0,0,0,211,yes
394,4.191,0,0,1,1091,yes
395,1.327,0,1,0,239,no
396,1.299,0,1,0,262,no
397,4.856,0,1,0,228,no
398,4.963,0,0,0,379,no
399,4.967,0,0,0,585,no
400,0.714,0,0,1,338,yes
401,1.029,0,0,0,123,no
402,4.856,0,1,0,374,no
403,1.262,0,0,0,712,yes
404,4.856,0,1,0,83,no
405,4.857,0,1,0,159,no
406,4.864,0,0,0,357,no
407,0.904,0,0,1,1087,yes
408,1.313,0,1,0,340,no
409,4.963,0,0,0,898,no
410,4.021,0,0,0,401,no
411,1.259,0,1,1,582,yes
412,1.334,0,1,0,519,yes
413,4.967,0,0,0,455,yes
414,4.153,0,0,0,257,no
415,1.268,0,0,0,258,yes
416,1.365,0,0,0,482,yes
417,4.855,0,1,0,42,no
418,4.076,0,0,0,531,yes
419,4.963,0,0,0,259,no
420,0.879,0,0,1,530,yes
421,0.683,0,1,1,289,yes
422,4.961,0,0,0,383,no
423,4.962,0,0,0,227,no
424,0.721,0,0,0,346,yes
425,4.021,0,0,0,248,no
426,0.883,0,0,0,408,yes
427,0.715,0,0,1,179,yes
428,1.041,0,0,0,344,yes
429,4.962,0,0,0,771,yes
430,4.963,0,0,0,698,no
431,1.415,0,0,0,129,yes
432,0.706,0,0,1,387,yes
433,4.864,0,0,0,404,no
434,4.856,0,1,0,270,no
435,4.855,0,1,0,241,no
436,4.855,0,1,0,135,no
437,1.244,0,1,0,317,no
438,4.965,0,0,0,286,no
439,1.453,0,0,0,895,yes
440,4.964,0,0,0,109,no
441,4.966,0,0,0,151,no
442,4.865,0,0,0,230,yes
443,4.859,0,1,0,57,no
444,1.039,0,0,1,655,yes
445,4.962,0,0,0,367,yes
446,0.773,0,0,1,260,yes
447,4.856,0,1,0,446,no
448,4.076,0,0,0,653,yes
449,4.964,0,0,0,113,no
450,4.966,0,0,0,645,yes
451,0.859,0,0,0,587,yes
452,0.722,0,0,0,142,yes
453,1.281,0,1,0,829,yes
454,4.865,0,0,0,102,no
455,0.873,0,0,0,148,yes
456,0.884,0,0,1,1019,yes
457,4.962,0,0,0,537,yes
458,1.4,0,0,0,160,yes
459,1.281,0,1,1,204,no
460,4.957,0,0,0,164,no
461,1.344,0,1,0,523,no
462,0.982,0,0,0,362,yes
463,4.076,0,0,0,151,no
464,4.97,0,0,0,167,no
465,4.962,0,0,0,136,no
466,4.963,0,0,0,102,no
467,4.864,0,1,0,1980,yes
468,1.281,0,0,0,243,yes
469,1.26,0,0,0,192,no
470,1.049,0,0,1,482,yes
471,4.961,0,0,0,477,no
472,4.076,0,0,0,252,no
473,0.714,0,0,0,1127,yes
474,1.344,0,1,0,459,no
475,0.677,0,1,1,211,yes
476,1.27,0,1,1,193,yes
477,1.313,0,1,0,395,no
478,4.961,0,0,0,223,no
479,4.963,0,0,0,686,yes
480,4.86,0,1,0,51,no
481,1.252,0,0,0,355,yes
482,4.962,0,0,0,298,no
483,4.962,0,0,0,42,no
