Id,LotFrontage,LotArea,Alley,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageType,GarageArea,SalePrice
1,65,8450,NA,196,856,854,1710,Attchd,548,208500
2,80,9600,NA,0,1262,0,1262,Attchd,460,181500
3,68,11250,NA,162,920,866,1786,Attchd,608,223500
4,60,9550,NA,0,961,756,1717,Detchd,642,140000
5,84,14260,NA,350,1145,1053,2198,Attchd,836,250000
6,85,14115,NA,0,796,566,1362,Attchd,480,143000
7,75,10084,NA,186,1694,0,1694,Attchd,636,307000
8,NA,10382,NA,240,1107,983,2090,Attchd,484,200000
9,51,6120,NA,0,1022,752,1774,Detchd,468,129900
10,50,7420,NA,0,1077,0,1077,Attchd,205,118000
11,70,11200,NA,0,1040,0,1040,Detchd,384,129500
12,85,11924,NA,286,1182,1142,2324,BuiltIn,736,345000
13,NA,12968,NA,0,912,0,912,Detchd,352,144000
14,91,10652,NA,306,1494,0,1494,Attchd,840,279500
15,NA,10920,NA,212,1253,0,1253,Attchd,352,157000
16,51,6120,NA,0,854,0,854,Detchd,576,132000
17,NA,11241,NA,180,1004,0,1004,Attchd,480,149000
18,72,10791,NA,0,1296,0,1296,CarPort,516,90000
19,66,13695,NA,0,1114,0,1114,Detchd,576,159000
20,70,7560,NA,0,1339,0,1339,Attchd,294,139000
21,101,14215,NA,380,1158,1218,2376,BuiltIn,853,325300
22,57,7449,Grvl,0,1108,0,1108,Attchd,280,139400
23,75,9742,NA,281,1795,0,1795,Attchd,534,230000
24,44,4224,NA,0,1060,0,1060,Attchd,572,129900
25,NA,8246,NA,0,1060,0,1060,Attchd,270,154000
26,110,14230,NA,640,1600,0,1600,Attchd,890,256300
27,60,7200,NA,0,900,0,900,Detchd,576,134800
28,98,11478,NA,200,1704,0,1704,Attchd,772,306000
29,47,16321,NA,0,1600,0,1600,Attchd,319,207500
30,60,6324,NA,0,520,0,520,Detchd,240,68500
31,50,8500,Pave,0,649,668,1317,Detchd,250,40000
32,NA,8544,NA,0,1228,0,1228,Attchd,271,149350
33,85,11049,NA,0,1234,0,1234,Attchd,484,179900
34,70,10552,NA,0,1700,0,1700,Attchd,447,165500
35,60,7313,NA,246,1561,0,1561,Attchd,556,277500
36,108,13418,NA,132,1132,1320,2452,BuiltIn,691,309000
37,112,10859,NA,0,1097,0,1097,Attchd,672,145000
38,74,8532,NA,650,1297,0,1297,Attchd,498,153000
39,68,7922,NA,0,1057,0,1057,Detchd,246,109000
40,65,6040,NA,0,1152,0,1152,NA,0,82000
41,84,8658,NA,101,1324,0,1324,Attchd,440,160000
42,115,16905,NA,0,1328,0,1328,Attchd,308,170000
43,NA,9180,NA,0,884,0,884,Attchd,504,144000
44,NA,9200,NA,0,938,0,938,Detchd,308,130250
45,70,7945,NA,0,1150,0,1150,Attchd,300,141000
46,61,7658,NA,412,1752,0,1752,Attchd,576,319900
47,48,12822,NA,0,1518,631,2149,Attchd,670,239686
48,84,11096,NA,0,1656,0,1656,Attchd,826,249700
49,33,4456,NA,0,736,716,1452,NA,0,113000
50,66,7742,NA,0,955,0,955,Attchd,386,127000
51,NA,13869,NA,0,794,676,1470,Attchd,388,177000
52,52,6240,NA,0,816,0,1176,Detchd,528,114500
53,110,8472,NA,0,816,0,816,CarPort,516,110000
54,68,50271,NA,0,1842,0,1842,Attchd,894,385000
55,60,7134,NA,0,1360,0,1360,Detchd,572,130000
56,100,10175,NA,272,1425,0,1425,Attchd,576,180500
57,24,2645,Pave,456,983,756,1739,Attchd,480,172500
58,89,11645,NA,0,860,860,1720,Attchd,565,196500
59,66,13682,NA,1031,1426,1519,2945,BuiltIn,641,438780
60,60,7200,NA,0,780,0,780,Detchd,352,124900
61,63,13072,NA,0,1158,0,1158,Detchd,576,158000
62,60,7200,NA,0,581,530,1111,Detchd,288,101000
